Date,Currency,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
2021-03-10,ETH,1829.3913235136,1871.9681973295,1878.4979521679,1764.2671363992
2021-03-11,ETH,1822.2317968982,1796.4673269041,1847.3304971959,1726.6915316775
2021-03-12,ETH,1762.2335996562,1827.1797830198,1842.4749540088,1722.7581916294
2021-03-13,ETH,1905.9466708556,1766.6939512109,1936.3226212135,1729.183153458
2021-03-14,ETH,1880.7561142354,1914.8152993398,1924.5684851409,1835.9954149997
2021-03-15,ETH,1789.8440534586,1847.4205702922,1889.7473530839,1737.1588370573
2021-03-16,ETH,1797.8202646051,1795.3613351698,1820.0390641219,1715.664835819
2021-03-17,ETH,1815.7424004952,1805.4800666668,1835.4145162334,1743.7056692341
2021-03-18,ETH,1790.5287290004,1822.4018270872,1849.8263246317,1760.9381574755
2021-03-19,ETH,1819.5551488499,1776.6476675714,1841.0175597539,1735.7254247616
2021-03-20,ETH,1833.745116795,1811.9385661454,1870.0847110358,1803.8837767076
2021-03-21,ETH,1798.8897051251,1807.3548009625,1818.7724844345,1750.7809907775
2021-03-22,ETH,1684.4615704989,1784.119386526,1806.5598574913,1658.9249628257
2021-03-23,ETH,1677.3997094293,1682.9827177716,1722.2969340566,1653.2294126508
2021-03-24,ETH,1592.2323707381,1669.1645595169,1740.5798760258,1548.0577709089
2021-03-25,ETH,1598.2561459368,1583.3947384826,1621.5965348485,1550.2956860288
2021-03-26,ETH,1681.9055387468,1587.2344153964,1696.3262684098,1587.1630837738
2021-03-27,ETH,1722.4718612491,1700.0813899588,1732.3303222895,1669.8251098334
2021-03-28,ETH,1676.3570868781,1713.3386238371,1725.7278299536,1662.9488340658
2021-03-29,ETH,1809.0688833594,1687.1789610226,1839.8005568881,1678.1089319959
2021-03-30,ETH,1841.7557639612,1816.2410826747,1860.0217366209,1787.3647868596
2021-03-31,ETH,1913.851918614,1842.699974292,1947.3556376949,1773.1823380941
2021-04-01,ETH,1968.1667128324,1919.1623035077,1983.4506630735,1888.6410474088
2021-04-02,ETH,2096.5905056962,1968.074621212,2102.1718121175,1950.0066632197
